Run	Barcode	Sample_ID	Dataset	Notes
ONT_mockecoli2_adapdet1	barcode10	CEG2_adap1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_adapdet2	barcode10	CEG2_adap2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont1	barcode10	CEG2_cont1	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockecoli2_cont2	barcode10	CEG2_cont2	ONT_mock_clinicecoli_ecoliadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode10	CN3.1_adap	ONT_mock_staphepi_staphadapdet	
ONT_mockecoli1_cont1	barcode10	CN3.1_cont	ONT_mock_staphepi_staphadapdet	
ONT_mockstaph1_adapdet1	barcode10	CSG1_adap1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode10	CSG1_adap2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont1	barcode10	CSG1_cont1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont2	barcode10	CSG1_cont2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode09	ECE1_adap	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_adapdet1	barcode09	ECE1_adap1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_adapdet2	barcode09	ECE1_adap2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode09	ECE1_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode09	ECE1_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode09	ECE1_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_skinecoli1_adapdet1	barcode05	L1BCE_adap1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode05	L1BCE_adap2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode05	L1BCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode05	L1BCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_adapdet1	barcode05	L1BCS_adap1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_adapdet2	barcode05	L1BCS_adap2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont1	barcode05	L1BCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode05	L1BCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_adapdet1	barcode09	L1BTE_adap1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode09	L1BTE_adap2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode09	L1BTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode09	L1BTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinstaph1_adapdet1	barcode09	L1BTS_adap1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_adapdet2	barcode09	L1BTS_adap2	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont1	barcode09	L1BTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode09	L1BTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_skinecoli1_adapdet1	barcode07	L1CCE_adap1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode07	L1CCE_adap2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode07	L1CCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode07	L1CCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_adapdet1	barcode07	L1CCS_adap1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_adapdet2	barcode07	L1CCS_adap2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont1	barcode07	L1CCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode07	L1CCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_adapdet1	barcode11	L1CTE_adap1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_adapdet2	barcode11	L1CTE_adap2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont1	barcode11	L1CTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode11	L1CTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinstaph1_adapdet1	barcode11	L1CTS_adap1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_adapdet2	barcode11	L1CTS_adap2	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont1	barcode11	L1CTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode11	L1CTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_mockskinpw1_alladapdet1	barcode06	L2BCE_adap1	ONT_skin_clinicecoli_alladapdet	
ONT_skinecoli1_adapdet1	barcode06	L2BCE_adap1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_mockskinpw1_staphadapdet1	barcode06	L2BCE_adap2	ONT_skin_clinicecoli_staphadapdet	
ONT_skinecoli1_adapdet2	barcode06	L2BCE_adap2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_mockskinpw1_cont1	barcode06	L2BCE_cont	ONT_skin_clinicecoli	
