Run	Barcode	Sample_ID	Dataset	Notes
ONT_skinecoli1_cont1	barcode05	L1BCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode05	L1BCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode05	L1BCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode05	L1BCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_cont1	barcode09	L1BTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode09	L1BTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode09	L1BTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode09	L1BTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_skinecoli1_cont1	barcode07	L1CCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode07	L1CCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode07	L1CCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode07	L1CCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_cont1	barcode11	L1CTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode11	L1CTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode11	L1CTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode11	L1CTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_mockskinpw1_cont1	barcode06	L2BCE_cont	ONT_skin_clinicecoli	
ONT_skinecoli1_cont1	barcode06	L2BCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode06	L2BCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode06	L2BCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode06	L2BCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_cont1	barcode10	L2BTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode10	L2BTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_mockskinpw1_cont1	barcode10	L2BTS_cont	ONT_skin_typestaph	
ONT_skinstaph1_cont1	barcode10	L2BTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode10	L2BTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_skinecoli1_cont1	barcode08	L2CCE_cont1	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode08	L2CCE_cont2	ONT_skin_clinicecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode08	L2CCS_cont1	ONT_skin_clinicstaph_staphadapdet	
ONT_skinstaph1_cont2	barcode08	L2CCS_cont2	ONT_skin_clinicstaph_staphadapdet	
ONT_skinecoli1_cont1	barcode12a	L2CTE_cont1	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinecoli1_cont2	barcode12a	L2CTE_cont2	ONT_skin_typeecoli_ecoliadapdet	
ONT_skinstaph1_cont1	barcode12a	L2CTS_cont1	ONT_skin_typestaph_staphadapdet	
ONT_skinstaph1_cont2	barcode12a	L2CTS_cont2	ONT_skin_typestaph_staphadapdet	
ONT_skin1_test	barcode10	LF1A_cont		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction"
ONT_skin_cont	barcode10-1	LF1A_cont		"Skin microbiome sample collected from left forearm position 1 for skin microbiome testing run 1, concentrated DNA extraction"
ONT_skinecoli1_cont1	barcode01	LF1B_cont1	ONT_skin_ecoliadapdet	
ONT_skinecoli1_cont2	barcode01	LF1B_cont2	ONT_skin_ecoliadapdet	
